White,Black,Result,Moves
wloclaw,saubhagya,0-1,1. b4 c6 2. Bb2 d5 3. e3 Nd7 4. c4 e5 5. Nc3 dxc4 6. Bxc4 Bxb4 7. Ne4 Ngf6 8. Ng5 O-O 9. Qb3 Nd5 10. h4 N7b6 11. e4 Nxc4 12. Qxc4 Bxd2+ 13. Kf1 b5 14. Qxc6 Ne3+ 15. Ke2 b4 16. fxe3 Rb8 17. Rd1 Bb7 18. Qc2 Ba6+ 19. Kf2 Qf6+ 20. N5f3 Bc3 21. Ne2 Bxb2 22. Qxb2 Rfc8 23. Rc1 Rd8 24. Rhd1 Rbc8 25. Rxd8+ Rxd8 26. Qxe5 Qxe5 27. Nxe5 Rd2 28. Nc4 Rxa2 29. Kf3 h6 30. Nd4 Ra4 31. Nb3 Kh7 32. Nc5 Ra2 33. Nxa6 Rxa6 34. Rb1 Ra4 35. Nd6 Kg6 36. Nc8 a5 37. Nb6 Ra2 38. Nc4 Kf6 39. Rb2 Ra1 40. Rd2 b3 41. Rd6+ Ke7 42. Ra6 a4 43. Rb6 Ra3 44. Nb2 Ra2 45. Nc4 Ra1 46. Nb2 a3 47. Rxb3 axb2 48. Rxb2 Ra5 49. Rd2 Rh5 50. g3 Re5 51. Rd5 Re6 52. Kf4 f6 53. e5 Kf7 54. exf6 gxf6 55. Rh5 Kg6 56. g4 Rb6
saubhagya,wilce,1/2-1/2,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 d6 5. O-O Bg4 6. h3 Bh5 7. Be3 Bb6 8. Nbd2 Nge7 9. c3 O-O 10. Qb3 Na5 11. Qa4 Nxc4 12. Nxc4 Bxf3 13. gxf3 Bxe3 14. Nxe3 a6 15. Kh2 b5 16. Qb3 Kh8 17. Rg1 g6 18. Ng4 Ng8 19. d4 h5 20. Ne3 Qf6 21. Qd1 exd4 22. cxd4 Qf4+ 23. Kh1 Qh4 24. Rg3 Nh6 25. Qd2 Rae8 26. Nd5 Kg7 27. Nxc7 Rc8 28. Nxa6 Rc6 29. Nb4 Rc4 30. d5 Qf6 31. b3 Rc3 32. Qd1 Rfc8 33. Nc6 h4 34. Rg2 Rxf3 35. Rh2 Rxf2 36. Rxf2 Qxf2 37. Qf1 Qe3 38. Re1 Qg3 39. Re2 Re8 40. Qg2 Qxg2+ 41. Kxg2 f5 42. e5 dxe5 43. Rxe5 Rxe5 44. Nxe5 Kf6 45. Nd3 Nf7 46. Kf3 Ne5+ 47. Nxe5 Kxe5 48. a4 bxa4 49. bxa4 Kxd5 50. a5 Kc5 51. a6 Kb6 52. Kf4 Kxa6 53. Kg5 Kb5 54. Kxh4 Kc5 55. Kg5 Kd4 56. h4 Ke4 57. Kxg6 f4 58. h5 f3 59. h6 f2 60. h7 f1=Q 61. h8=Q Qf5+ 62. Kg7 Qe5+ 63. Kg8 Qxh8+ 64. Kxh8
HuseyinOzturk03,saubhagya,0-1,1. e4 c6 2. Nc3 d5 3. exd5 cxd5 4. Nce2 e5 5. d3 Nf6 6. f3 Be7 7. Be3 Be6 8. Qd2 Nbd7 9. O-O-O Rc8 10. c3 d4 11. f4 dxe3 12. Qxe3 exf4 13. Qxf4 Bxa2 14. Nd4 Nd5 15. Qg4 Bg5+ 16. Kc2 Ne3+ 17. Kd2 Nxg4+ 18. Ke2 Qe7+ 19. Kf3 Qe3+ 20. Kxg4 Qf4+ 21. Kh3 Qh4#
NewRepertoireInUse,saubhagya,1-0,1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 Bxd3 6. Qxd3 e6 7. Bg5 Qb6 8. Nc3 Nd7 9. Nf3 c5 10. Ne2 cxd4 11. O-O Ne7 12. Nexd4 Ng6 13. Rfe1 Bc5 14. c3 a5 15. Re2 O-O 16. Nh2 Ndxe5 17. Qg3 Bd6 18. f4 Nc4 19. Qf3 Rad8 20. f5 e5 21. fxg6 fxg6 22. Qxd5+ Kh8 23. Bxd8 Rxd8 24. Qxc4 exd4 25. Nf3 dxc3+ 26. Kh1 cxb2 27. Rb1 Ba3 28. Qc3 Bd6 29. Rexb2 Qa6 30. Rxb7 Bb4 31. Qxg7#
saubhagya,NewRepertoireInUse,0-1,1. e4 b6 2. d4 Bb7 3. Bd3 e6 4. Nf3 Nf6 5. Nbd2 d5 6. e5 Ne4 7. O-O Be7 8. Re1 Nxd2 9. Bxd2 O-O 10. c3 Nd7 11. Rc1 c5 12. Bb1 Ba6 13. Qc2 g6 14. g3 Rc8 15. h4 cxd4 16. Nxd4 Qc7 17. h5 Nxe5 18. Bf4 Bd6 19. hxg6 Nxg6 20. Bxd6 Qxd6 21. Kg2 Rc4 22. Rh1 Rfc8 23. Qd2 Qe5 24. Qe1 Qg5 25. Nf3 Qf6 26. Qe3 d4 27. Qh6 Bb7 28. Qxh7+ Kf8 29. Qh5 dxc3 30. Bxg6 Qxf3+ 31. Qxf3 Bxf3+ 32. Kxf3 fxg6 33. bxc3 Rxc3+ 34. Rxc3 Rxc3+ 35. Ke4 Rc2 36. f4 Rxa2 37. Ke5 Kg7 38. Kxe6 b5 39. Rb1 a6 40. Rb3 Ra4 41. Kd5 Kf6 42. Kc6 Kf5 43. Kc5 b4 44. Kd5 a5 45. Kc4 Ra3 46. Rb2 Rxg3 47. Ra2 Ra3 48. Rg2 b3 49. Kc3 a4 50. Kb4 Ra2 51. Rg5+ Kf6 52. Rg1 b2 53. Rb1 a3 54. Kb3 Ra1
NewRepertoireInUse,saubhagya,1-0,1. e4 c6 2. Nc3 d5 3. Nf3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4 h6 7. Ne5 Qd6 8. d4 Nd7 9. Nxg6 Qxg6 10. Bd3 Qd6 11. Nf5 Qb4+ 12. c3 Qb6 13. Qg4 g6 14. Ne3 Ngf6 15. Qg3 O-O-O 16. Nc4 Qc7 17. Bf4 e5 18. Nxe5 Nxe5 19. Bxe5 Qe7 20. O-O-O Rg8 21. Rhe1 Qd7 22. Bxf6
saubhagya,NewRepertoireInUse,0-1,1. e4 c6 2. Nf3 d5 3. exd5 cxd5 4. d4 Nc6 5. Bd3 Nf6 6. h3 g6 7. O-O Bg7 8. Re1 O-O 9. c3 Bf5 10. Bxf5 gxf5 11. Bf4 e6 12. Nbd2 b5 13. Nb3 Qb6 14. Qd2 b4 15. Ne5 bxc3 16. bxc3 Rfd8 17. Rab1 Ne4 18. Qe3 Nxe5 19. Bxe5 Bxe5 20. dxe5 Qxe3 21. Rxe3 Rdc8 22. Rc1 Rc4 23. f3 Ng3 24. f4 Ne4 25. g4 fxg4 26. hxg4 Rac8 27. f5 Nxc3 28. Rc2 Rxg4+ 29. Kf2 Ne4+ 30. Kf3 Rg3+ 31. Kf4 Rxc2 32. Rxg3+ Nxg3 33. Kxg3 Rxa2
NewRepertoireInUse,saubhagya,0-1,1. d4 c6 2. c4 d5 3. Nc3 Nf6 4. Nf3 Bf5 5. Qb3 b6 6. cxd5 Nxd5 7. Ne5 e6 8. f3 Qh4+ 9. g3 Qxd4 10. Nxc6 Nxc6 11. e4 Nxc3 12. bxc3 Bb4 13. Bd2 Qd6 14. cxb4 Bg6 15. Bb5 O-O 16. Bxc6 Qxc6 17. b5 Qc7 18. Rc1 Qb7 19. O-O Rac8 20. Bb4 Rxc1 21. Rxc1 Rc8 22. Rd1 h6 23. Qd3 f6 24. a3 Rc7 25. Qd8+ Kh7 26. Qf8 Rf7 27. Qe8 f5 28. Rd8 Bh5 29. Qg8+ Kg6 30. exf5+ exf5 31. Rd6+ Rf6 32. Qe8+ Qf7 33. Rxf6+ Kxf6 34. Bc3+ Kg6 35. Qe5 Kh7 36. Kg2 Bg6 37. Qd5 Qxd5
Fdzivakwi,saubhagya,0-1,1. e4 c6 2. Nf3 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4 h6 7. Ne5 Qd6 8. d4 Nd7 9. Bf4 Nxe5 10. Bxe5 Qb4+ 11. c3 Qxb2 12. Rc1 Qxa2 13. Bd3 Bxd3 14. Qxd3 e6 15. O-O Nf6 16. Bxf6 gxf6 17. Ne4 Be7 18. Qf3 f5 19. Nc5 Bxc5 20. dxc5 O-O-O 21. Ra1 Qc4 22. Rxa7 Qxc5 23. Rfa1 Rhg8 24. R1a5 Qd6 25. Qe3 f4 26. Qb6 Qc7 27. Ra8+ Kd7 28. Rxd8+ Rxd8 29. Qd4+ Ke7 30. Qb4+ Ke8 31. Ra1 f6 32. Qe4 Qf7 33. Qxf4 Qg6 34. Re1 e5 35. Qb4 Rd7 36. Qc4 Qf7 37. Qe4 Kf8 38. f4 exf4 39. Qxf4 Kg7 40. Re3 Rd1+ 41. Kh2 Rd5 42. Rg3+ Kh7 43. Qe4+ Kh8 44. Qg4 Rd8 45. Qf4 Rg8 46. Qxh6+ Qh7 47. Rxg8+ Kxg8 48. Qf4 Qg6 49. Qb8+ Kh7 50. Qc7+ Qg7 51. Qf4 b5
saubhagya,wolel,1-0,1. e4 d6 2. Nf3 Nf6 3. Nc3 c5 4. d4 cxd4 5. Nxd4 g6 6. Be3 Bg7 7. Bd3 Nc6 8. Nxc6 b6 9. Nxd8
AdikBontot_CCJM,saubhagya,0-1,1. c4 g6 2. Nc3 Bg7 3. b4 Nf6 4. Bb2 O-O 5. e3 d6 6. Bd3 e5 7. Qc2 a5 8. b5 c6 9. a3 Be6 10. Nf3 cxb5 11. Nxb5 Nc6 12. h4 h5 13. Ng5 Bg4 14. f3 Bd7 15. Nxd6 Bf5 16. Nxf5 gxf5 17. Bxf5 Re8 18. Rd1 e4 19. Nxe4 Nxe4 20. Bxg7 Kxg7 21. Bxe4 Rc8 22. Bd5 Qd6 23. Kf2 Ne5 24. Qc3 f6 25. d3 b5 26. Qxa5 bxc4 27. dxc4 Qb8 28. Qd2 Red8 29. e4 Nxc4 30. Qc3 Qb6+ 31. Kg3 Qd6+ 32. Kh3 Qd7+ 33. Kh2 Qc7+ 34. g3 Ne5 35. Qxc7+ Rxc7 36. Rhf1 Rc2+ 37. Kh1 Rb8 38. Rc1 Rbb2 39. Rxc2 Rxc2 40. a4 Rc3 41. Kg2 Ra3 42. Bc6 Nxc6 43. Kh3 Rxa4 44. g4 hxg4+ 45. Kxg4 Ne5+ 46. Kf5 Ra5 47. Kf4 Ng6+ 48. Kg4 Kf7 49. Rb1 Ne5+ 50. Kf4 Ra7 51. Kf5 Nxf3 52. h5 Nd4+ 53. Kf4 Ne6+ 54. Kg4 Ra4 55. Kf5 Nd4+
VICTOR_GRIJALBA,saubhagya,0-1,1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 Bxd3 5. Qxd3 e6 6. Nf3 Nd7 7. Nbd2 c5 8. O-O cxd4 9. Qxd4 Bc5 10. Qa4 Ne7 11. b4 Bb6 12. c4 dxc4 13. Nxc4 O-O 14. Rd1 Nd5 15. Nxb6 N7xb6 16. Qb5 a6 17. Qd3 Qe7 18. Ng5 g6 19. Ne4 Nxb4 20. Qh3 N4d5 21. Ba3 Qc7 22. Rac1 Qxe5 23. Bxf8 Qxe4 24. Ba3 Nf4 25. Qe3 Qxg2#
saubhagya,VICTOR_GRIJALBA,1/2-1/2,1. e4 d6 2. d4 g6 3. c3 Bg7 4. Be3 Nf6 5. Bd3 O-O 6. Nd2 a6 7. Ngf3 Bg4 8. O-O Nbd7 9. h3 Bxf3 10. Nxf3 b5 11. b4 Rc8 12. Rc1 c5 13. bxc5 dxc5 14. a4 c4 15. Bb1 Rc7 16. d5 Nc5 17. axb5 axb5 18. e5 Nxd5 19. Bd4 Nb3 20. Rc2 Nf4 21. Ba2 Nxd4 22. cxd4 Nd3 23. Bb1 Qd5 24. Rd2 Nf4 25. Re1 b4 26. Be4 Qb5 27. g3 Ne6 28. d5 Nc5 29. d6 exd6 30. exd6 Rd7 31. Rd5 Qb6 32. Nd2 Nxe4 33. Nxe4 c3 34. Qb3 f5 35. Ng5 Kh8 36. Ne6 Rc8 37. Nxg7 Kxg7 38. Re7+ Rxe7 39. dxe7 c2 40. Qb2+ Qf6 41. e8=N+ Rxe8 42. Qxc2 Re7 43. Rb5 Qc3 44. Qxc3+ bxc3 45. Rc5 Re1+ 46. Kg2 Rc1 47. Kf3 c2 48. h4 Kf6 49. Kf4 h6 50. Rc6+ Kf7 51. Rc7+ Ke6 52. Rc3 Kf6 53. Kf3 g5 54. hxg5+ hxg5 55. Rc6+ Ke5 56. Rc5+ Kd4 57. Rc8 Kd3 58. Rd8+ Kc3 59. Rc8+ Kd3 60. Rd8+ Kc3 61. Rc8+ Kd3
InfidelBishop,saubhagya,0-1,1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nc6 5. c3 Nf6 6. h3 g6 7. Qf3 Bg7 8. Ne2 O-O 9. O-O e5 10. dxe5 Nxe5 11. Qg3 Ne4 12. Bxe4 dxe4 13. Nd4 f5 14. Bg5 Qb6 15. b3 Nd3 16. Be3 f4 17. Ne2 fxg3 18. Bxb6 axb6 19. Nxg3 Be6 20. Nxe4 Bxb3 21. Nbd2 Bd5 22. Rab1 Rxa2 23. Rxb6 Bxe4 24. Nxe4 Nxf2 25. Rxf2 Rfxf2 26. Nxf2 Bxc3 27. Rxb7 Bd4
saubhagya,gema_del_alma,1-0,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5 5. Nxc6 dxc6 6. Bd3 Nf6 7. O-O Bc5 8. Nc3 Qb6 9. h3 O-O 10. Na4 Qb4 11. c3 Qa5 12. b4 Bxf2+ 13. Rxf2 Qd8 14. Bg5 Be6 15. Bxf6 gxf6 16. Qh5 Qxd3 17. Nc5 Qxc3 18. Raf1 Bc4 19. Qg4+ Kh8 20. Rd1 Qxb4 21. Nd7 Rfd8 22. Qf5 Be6 23. Qxf6+ Kg8 24. Qg5+ Kh8 25. Rf3 Rxd7 26. Rxd7 Qe1+ 27. Kh2 Rg8 28. Qf6+
saubhagya,johanelkraken,0-1,1. e4 c6 2. d4 e6 3. f4 d5 4. e5 Qb6 5. Nf3 c5 6. Nc3 Nc6 7. Bb5 cxd4 8. Nxd4 Bd7 9. Bxc6 bxc6 10. b3 Bc5 11. Be3 Ne7 12. g4 Qb4 13. Qd3 Ng6 14. O-O Bb6 15. a3 Qe7 16. Nf3 c5 17. Ne2 d4 18. Bf2 Bc6 19. Bg3 Qb7 20. h4 Ne7 21. a4 Nd5 22. Bf2 Nb4 23. Qc4 Bxf3 24. Nxd4 cxd4 25. Qxb4 Bh1 26. Qb5+ Kf8 27. Bg3 Qg2#
NobreSorriso,saubhagya,1-0,1. c4 c6 2. Nc3 d5 3. cxd5 cxd5 4. d3 Nf6 5. d4 e6 6. Bf4 Bd6 7. Bg3 Bxg3 8. hxg3 Nc6 9. e3 a6 10. Bd3 b5 11. a4 b4 12. Nce2 a5 13. Bb5 Bd7 14. Nf3 Rc8 15. Rc1 O-O 16. Qd3 Na7 17. Ne5 Rxc1+ 18. Nxc1 Bxb5 19. axb5 Qb6 20. Nd7 Nxd7 21. Qxh7#
saubhagya,dasawarsawahyu,1-0,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 a6 5. Nc3 e6 6. Nxc6 bxc6 7. Bd3 d5 8. exd5 cxd5 9. O-O Nf6 10. Re1 Be7 11. Bg5 O-O 12. h3 g6 13. Qf3 Re8 14. Rad1 Bb7 15. Qg3 Nh5 16. Bxe7 Qxe7 17. Qe5 Qf6 18. Qc7 Re7 19. Qd6 Ree8 20. Be2 Nf4 21. Bf3 Qg5 22. Kh2 Rad8 23. Qe5 Qxe5 24. Rxe5 f6 25. Ree1 d4 26. Bxb7 dxc3 27. bxc3 e5 28. g3 Ne6 29. Bxa6 Rxd1 30. Rxd1 Rd8 31. Rxd8+ Nxd8 32. a4 Kf8 33. Kg2 Ke7 34. Kf3 Kd6 35. Ke4 Ne6 36. Bb5 f5+ 37. Kd3 Kc5 38. c4 e4+ 39. Ke3 Nd4 40. c3 Nc2+ 41. Kf4 h6 42. Ke5 Ne1 43. Kf6 Nd3 44. a5 Nxf2 45. a6 Kb6 46. Kxg6 e3 47. Kxh6 e2 48. c5+ Ka7 49. Bxe2 Ne4 50. Bd3
comproma,saubhagya,1-0,1. f4 c6 2. Nf3 d5 3. c3 Bg4 4. e3 Nf6 5. d4 Nbd7 6. Bd3 e6 7. O-O c5 8. Qe1 Bxf3 9. Rxf3 Ne4 10. Nd2 Ndf6 11. Rh3 cxd4 12. exd4 Nxd2 13. Bxd2 Bd6 14. Bb5+ Nd7 15. Qg3 g6 16. Bxd7+ Qxd7 17. Qh4 Be7 18. Qh6 O-O-O 19. a4 Kb8 20. b4 a6 21. Be3 Rc8 22. Bf2 f6 23. Rd3 e5 24. fxe5 fxe5 25. dxe5 Qf5 26. Qe3 Bg5 27. Qa7+ Kc7 28. Rxd5 Be7 29. Bb6+ Kc6 30. Rc5+ Bxc5+ 31. Bxc5 Rhd8 32. Qb6+ Kd7 33. Qxb7+ Rc7 34. Rd1+ Ke8 35. Rxd8+ Kxd8 36. Qd5+ Qd7 37. Qf3 Qxa4 38. Bb6 Qa1+ 39. Kf2 Qb2+ 40. Kg3 Qc1 41. Qf8+ Kd7 42. Qf7+ Kc6 43. Qxc7+ Kd5 44. Qd6+ Ke4 45. Qd4+ Kf5 46. Kh3 Qh6+ 47. Kg3 Qg5+ 48. Kf2 Qe7 49. h3 g5 50. g4+ Kg6 51. Qe4+ Kg7 52. Qf5 Kg8 53. Bd4 a5 54. bxa5 h6 55. e6 h5 56. gxh5 g4 57. hxg4 Qh4+ 58. Kf3 Qh3+ 59. Ke4 Qh1+ 60. Qf3 Qb1+ 61. Kf4 Qh7 62. Kg3 Qe4 63. Qxe4
saubhagya,IVANPARRA60,0-1,1. e4 e5 2. Nf3 Nf6 3. Nc3 d6 4. d4 exd4 5. Nxd4 Be7 6. Bd3 O-O 7. O-O a6 8. Be3 b5 9. f4 c5 10. Nf3 c4 11. Be2 Bb7 12. e5 dxe5 13. Nxe5 Qxd1 14. Raxd1 Nc6 15. Nd7 Rfd8 16. Nxf6+ Bxf6 17. Bf3 Bxc3 18. bxc3 Rxd1 19. Rxd1 Rd8 20. Rxd8+ Nxd8 21. Bxb7 Nxb7 22. Kf2 Nd6 23. Kf3 f5 24. g4 g6 25. h4 Kf7 26. h5 Ke6 27. hxg6 hxg6 28. gxf5+ gxf5 29. a3 Kd5 30. Bd4 Ne4 31. Ke3 a5 32. Kf3 b4 33. cxb4 axb4 34. Bb2 c3 35. Bc1 bxa3 36. Bxa3 Kd4 37. Bc1 Kc4 38. Ke2 Nf6 39. Kf3 Nd5 40. Ke2 Nb4 41. Kd1 Kd4 42. Ba3 Nd5 43. Bc1 Ke4 44. Ke2 Nxf4+ 45. Kf2 Ne6 46. Ke2 f4 47. Kf2 Nd4 48. Ke1 Nxc2+ 49. Kd1 Ne3+ 50. Ke2 Nc4 51. Bxf4 Kxf4 52. Kd3 c2 53. Kc3 c1=Q+ 54. Kb4 Ne3 55. Kb5 Qc2 56. Kb6 Qc4 57. Kb7 Qc5 58. Kb8 Qe7 59. Ka8 Qd7 60. Kb8 Nd5 61. Ka8 Nb6+ 62. Kb8 Nd5 63. Ka8 Ke5 64. Kb8 Kd6 65. Ka8 Kc6 66. Kb8 Qb7#
saubhagya,nacho399,1-0,1. e4 e5 2. Nf3 d6 3. d4 Nd7 4. dxe5 dxe5 5. Nc3 Be7 6. Bc4 c6 7. O-O Ngf6 8. Re1 O-O 9. Be3 Qc7 10. a3 a5 11. a4 Bc5 12. Bxc5 Nxc5 13. Qe2 Be6 14. Bxe6 Nxe6 15. Rad1 Rad8 16. Rxd8 Rxd8 17. Rd1 h6 18. Rxd8+ Nxd8 19. Qd3 Ne6 20. b3 Nf4 21. Qe3 Ng4 22. Qe1 Qd6 23. Ne2 Nxe2+ 24. Qxe2 Nf6 25. h3 g5 26. Nd2 Kg7 27. Nc4 Qc7 28. Qf3 b5 29. axb5 cxb5 30. Ne3 Qd6 31. Nf5+ Kg6 32. Nxd6
Krkv,saubhagya,1/2-1/2,1. Nf3 c6 2. g3 d5 3. Bg2 g6 4. d3 Bg7 5. O-O Nf6 6. Nc3 O-O 7. Nd2 e5 8. e4 Be6 9. exd5 cxd5 10. Nf3 Nc6 11. Bg5 Qc7 12. Qd2 Rad8 13. Bh6 Rfe8 14. Bxg7 Kxg7 15. Qg5 h6 16. Qd2 Qd7 17. Rfe1 Bh3 18. Rad1 Bxg2 19. Kxg2 a6 20. h3 b5 21. a3 Qd6 22. Na2 a5 23. Nc3 b4 24. axb4 axb4 25. Ne2 e4 26. dxe4 Nxe4 27. Qd3 f5 28. Nfd4 Nxd4 29. Qxd4+ Kh7 30. Nf4 Re5 31. f3 g5 32. Nh5 Kg6 33. fxe4 Kxh5 34. exf5 Rxf5 35. g4+ Kg6 36. gxf5+ Kxf5 37. Rf1+ Kg6 38. Qd3+ Kg7 39. Rf3 d4 40. Rdf1 Qd5 41. Qf5 b3 42. Qxd5 Rxd5 43. cxb3 d3 44. Rd1 d2 45. Rf2 Rd3 46. Rfxd2 Rxb3 47. Rd7+ Kf6 48. R1d2 h5 49. R7d3 Rb4 50. b3 g4 51. hxg4 Rxg4+ 52. Rg3 Rb4 53. Rd6+ Ke5 54. Rc6 Kf5 55. Rc5+ Kf6 56. Rxh5 Kf7 57. Re5 Kf6 58. Ree3 Kf5 59. Rgf3+ Kg5 60. Re5+ Kg6 61. Rg3+ Kf6 62. Re8 Kf7 63. Re5 Kf6
sucom,saubhagya,1/2-1/2,1. e4 c6 2. Nf3 d5 3. exd5 cxd5 4. d4 Nc6 5. Bd3 Bg4 6. c3 Nf6 7. O-O e6 8. h3 Bxf3 9. Qxf3 Be7 10. Bg5 O-O 11. Re1 h6 12. Bxf6 Bxf6 13. Nd2 a6 14. Bb1 g6 15. Qd3 Re8 16. Nf3 Rc8 17. Bc2 Na5 18. Ne5 Nc4 19. Nxg6 fxg6 20. Qxg6+ Bg7 21. Qh7+ Kf8 22. Bg6 Qf6 23. Bxe8 Rxe8 24. Qd3 Nxb2 25. Qc2 Nc4 26. Rab1 b5 27. a4 Nd6 28. Re3 Kg8 29. Rf3 Qe7 30. axb5 axb5 31. Re1 Ne4 32. Rfe3 Qd6 33. f3 Ng5 34. Qe2 b4 35. h4 bxc3 36. hxg5 Bxd4 37. Kh1 Bxe3 38. Qxe3 c2 39. gxh6 Qg3 40. Rc1 e5 41. Rxc2 d4 42. Qb3+ Kh8 43. Qf7 Qe1+ 44. Kh2 Qh4+ 45. Kg1 Qe1+ 46. Kh2 Qh4+ 47. Kg1 Qe1+ 48. Kh2
Gaurav191d,saubhagya,0-1,1. d4 c6 2. c4 d5 3. Nc3 Nf6 4. Bg5 Bf5 5. cxd5 cxd5 6. Nf3 e6 7. h3 Nc6 8. e3 Be7 9. Bd3 Bxd3 10. Qxd3 O-O 11. O-O h6 12. Bh4 a6 13. Rac1 Rc8 14. Ne2 Qb6 15. Rc2 Nb4 16. Qb3 Rxc2 17. Ng3
saubhagya,Sendog,1-0,1. e4 c6 2. Nf3 d5 3. exd5 cxd5 4. d4 Nc6 5. c4 Bg4 6. Nc3 Nf6 7. cxd5 Nxd5 8. Bc4 e6 9. O-O Bb4 10. Bd2 O-O 11. Nxd5 Bxd2 12. Ne3 Bxe3 13. fxe3 Bxf3 14. Qxf3 Nxd4 15. Qe4 Nf5 16. Rad1 Qb6 17. Rde1 Nd6 18. Qd3 Nxc4 19. Qxc4 Qxb2 20. Re2 Qb6 21. Qe4 Qc6 22. Qh4 Rae8 23. Rf3 Qc1+ 24. Re1 Qb2 25. Rh3 h6 26. Rg3 Qe5 27. Rf1 f5 28. Qh5 Rc8 29. Qxh6 Qxg3 30. Qxe6+ Kh8 31. hxg3 Rce8 32. Qg6 Rxe3 33. Rxf5 Rxf5 34. Qxf5 Rxg3 35. Qh5+ Kg8 36. Qd5+ Kh8 37. Qd8+
bashkim,saubhagya,1-0,1. d4 c6 2. Bf4 d5 3. Nf3 Bf5 4. e3 e6 5. c3 Nf6 6. Nbd2 Be7 7. Be2 Nbd7 8. O-O O-O 9. h3 Re8 10. a4 a5 11. b3 Nb6 12. Rc1 Rc8 13. c4 dxc4 14. Nxc4 Nxc4 15. Bxc4 Ba3 16. Ra1 Bb4 17. Ne5 Nd5 18. Bxd5 cxd5 19. Nd3 Bd6 20. Bxd6 Qxd6 21. Rb1 Rc3 22. Ne5 Bxb1 23. Qxb1 Qb4 24. Rc1 Rxc1+ 25. Qxc1 Qxb3 26. Qc7 Rf8 27. Nd7 Re8 28. Ne5 Qb1+ 29. Kh2 Qf5 30. f4 f6 31. Qf7+ Kh8 32. Qxe8#
saubhagya,Jayalionking,0-1,1. e4 b6 2. Nf3 Bb7 3. Nc3 Nc6 4. d4 e6 5. Be3 Bb4 6. Bd3 Bxc3+ 7. bxc3 Nge7 8. O-O d6 9. h3 O-O 10. Nh2 Ng6 11. f4 f5 12. Qf3 Qf6 13. e5 dxe5 14. dxe5 Qf7 15. Bb5 Nge7 16. Rad1 a6 17. Bc4 b5 18. Bb3 Rad8 19. Bc5 Na5 20. Qe2 Nxb3 21. cxb3 Nd5 22. Bxf8 Rxf8 23. Qc2 Ne3 24. Qc1 Nxd1 25. Rxd1 Qg6 26. Rd7 Qxg2#
schnellundgut,saubhagya,0-1,1. d4 c6 2. Nf3 d5 3. Bf4 Bf5 4. Nbd2 e6 5. e3 Nd7 6. c4 Ngf6 7. Qb3 dxc4 8. Nxc4 Nb6 9. Na5 Qc8 10. Ne5 Be7 11. Be2 O-O 12. O-O Nfd5 13. Bg3 Nb4 14. Rac1 N6d5 15. a3 f6 16. Nf3 b6 17. axb4 bxa5 18. bxa5 Qd7 19. Nd2 Bg6 20. Qc4 Rac8 21. Bd1 Bf7 22. Ba4 Nb4 23. Qe2 Rfd8 24. Ne4 f5 25. Nc5 Bxc5 26. Rxc5 Nd5 27. Rfc1 g5 28. Bxc6 Qe7 29. Bxd5 Rxc5 30. dxc5 Rxd5 31. b4 e5 32. Rd1 Rxd1+ 33. Qxd1 f4 34. exf4 exf4 35. Bxf4 gxf4 36. h3 a6 37. Qg4+ Bg6 38. Qxf4 Qe1+ 39. Kh2 Qe6 40. Qb8+ Kg7 41. Qb7+ Kh6 42. c6 Qd6+ 43. g3 Be4 44. Qxa6 Bxc6 45. b5 Qd2 46. Qxc6+ Kg7 47. b6 Qxf2+ 48. Qg2 Qc5 49. Qb2+ Kf7 50. b7 Qxa5 51. b8=Q Qd5 52. Q2b7+ Ke6
saubhagya,romasa,0-1,1. e4 c6 2. Ne2 d5 3. exd5 cxd5 4. d4 Nf6 5. Nbc3 Nc6 6. Be3 Bf5 7. Ng3 Bg6 8. Bd3 e6 9. O-O Qc7 10. a3 a6 11. Qd2 Bd6 12. Rfe1 O-O 13. Bxg6 hxg6 14. Bg5 Rac8 15. Be3 Ng4 16. h3 Nxe3 17. Qxe3 Bxg3 18. fxg3 Qb6 19. Ne2 Qxb2 20. Rab1 Qxc2 21. Rxb7 Na5 22. Rbb1 Nc4 23. Qf2 Rb8 24. Rbc1 Qa4 25. Nc3 Qxa3 26. Ne2 Rb2 27. Qf1 Rfb8 28. Nf4 Rd2 29. h4 Rbb2 30. Re2 Rxe2 31. Nxe2 Qe3+ 32. Kh1 Qxe2 33. Qxe2 Rxe2 34. Rb1 Rd2
